Name,Tag,Last War,Town Hall,Clan,Total Wars
joyel,#82RPPRU9J,,12,Dark Matter,0
StringFire,#92RVQGR0C,,13,Dark Matter,0
Triton,#J9RGCLGL,,14,Dark Matter,0
Mebi,#22PR9220R,,13,Dark Matter,0
Victor,#LVU988P9,,13,Dark Matter,0
Pix,#2U2LLLQVV,,13,Dark Matter,0
Oscar,#J0GGQRU0,,12,Dark Matter,0
Darth Kenobi,#LQLRRPL2J,,3,Dark Matter,0
Rianto,#9LLVCUY8C,,10,barudak sunda,0
Darth Porkins,#LUJ9LRJQ0,,3,barudak sunda,0
__Neard__,#88P09Y2GQ,,13,Sheer Force,0
Tøxïç Šūrgë,#R9YRCQC8,,12,Sheer Force,0
turtle,#P2JLJU89L,,14,Sheer Force,0
__Neard1__,#YRJ2CG29R,,13,Sheer Force,0
verbatxm,#20R9QGCJC,,11,Sheer Force,0
Lindberghh V,#RVCRYRY,,10,Sheer Force,0
Hut,#98PQ0G0LJ,,11,Sheer Force,0
Pork_Adobo,#QU29PUQ8,,9,Sheer Force,0
Lindberghh III,#Q288YUQ99,,9,Sheer Force,0
You,#LUGV8UP2C,,8,Sheer Force,0
Left Pix,#82GLJC8YQ,,8,UnitedAsOne,0
