"Name","Tag","Clan","Enemy Clan","War ID","Ended","War Type","Team Size","Missed"
"Luca","#8J2LGRUU","Endor","land of clã","228412","8/6/2021","CWL","30","1"
"GAWD","#PJCPC8280","Endor","land of clã","228412","8/6/2021","CWL","30","1"
"Teyang konyak","#LUVPGC22L","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"Globslashes","#QPGJUL0PC","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"Oo Zaw TT","#QPGC908VQ","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"alli","#QPVY0GPCC","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"Olle","#QYRPQQVGR","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"Non rushed","#QYRRGV9LV","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"籠耐克","#QYJ0CLCV9","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"R..I..D..E..R","#YCVVG992L","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"sheep","#QQL0QQ9G0","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"NicoGreeko","#QYV2RVL80","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"Kakitani","#QL0CJCP0P","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","1"
"太阳部落冲突","#L28JPL9R","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"ELLIOT10","#Q88PPJCG0","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"haley","#Q9PVV2CGR","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","1"
"jackson","#QP9VR2CR8","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"SHINYSHOOTER","#Q80UPV2GJ","SN JAIN","Mini Matter","225679","8/5/2021","Friendly","20","2"
"FlipDon","#PRVV2GV80","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"rio","#Q2P20V2J0","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"punyhuman","#QY9CLP9CG","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Alex The Brave","#Q8YQ0CCQ2","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Andre.","#QPQ802Y0C","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Duckman","#LC9QCR9YQ","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Mr. Coco 1.2","#QY299LG90","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Tommy","#9PL0JPVP9","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"DocDon","#PYV2U22QP","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Monkeylette","#PV2CG0YJ8","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Darth Chewi","#Q8GPYC9PR","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Doorman SP","#L20CJU9C0","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"panda","#QPYG2UYJP","Mini Matter","SN JAIN","225694","8/5/2021","Friendly","20","2"
"Curtickle","#Q08UPC0G","Endor","✌✌الهيبة✌✌","222508","8/4/2021","CWL","30","1"
"SIMI","#288JCJ9VR","Killer_Black_Wf","Dark demons","220078","8/3/2021","CWL","15","1"
"Teyang konyak","#LUVPGC22L","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"Ntfb_Slay","#Q2C9R2LY9","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","1"
"Globslashes","#QPGJUL0PC","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"Oo Zaw TT","#QPGC908VQ","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"alli","#QPVY0GPCC","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","1"
"NinesOoalGown","#QPVQPR8GL","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"靓仔","#QPG90CYVQ","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"R..I..D..E..R","#YCVVG992L","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"sheep","#QQL0QQ9G0","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"NicoGreeko","#QYV2RVL80","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"Kakitani","#QL0CJCP0P","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"太阳部落冲突","#L28JPL9R","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"haley","#Q9PVV2CGR","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"texanji","#QP820PV88","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"SHINYSHOOTER","#Q80UPV2GJ","SN JAIN","Mini Matter","225626","8/3/2021","Friendly","15","2"
"Sid4realtho","#YQUC0QLY8","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"rio","#Q2P20V2J0","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"Karaka","#QPQCLG809","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"punyhuman","#QY9CLP9CG","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"Alex The Brave","#Q8YQ0CCQ2","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"Andre.","#QPQ802Y0C","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"morf0wt","#QYG9PVYJP","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"Duckman","#LC9QCR9YQ","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"Booger County","#QY92C9CVV","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"CaptainBowie","#QGYCJ8RQQ","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"DocDon","#PYV2U22QP","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"Monkeylette","#PV2CG0YJ8","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"Darth Chewi","#Q8GPYC9PR","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"panda","#QPYG2UYJP","Mini Matter","SN JAIN","225639","8/3/2021","Friendly","15","2"
"Teyang konyak","#LUVPGC22L","SN JAIN","Mini Matter","217408","7/31/2021","Friendly","15","2"
"BRO HENG SOLO","#LU022RGGR","SN JAIN","Mini Matter","217408","7/31/2021","Friendly","15","1"
"kaitlyn101","#LVJPC2LRQ","SN JAIN","Mini Matter","217408","7/31/2021","Friendly","15","2"
"Dunk & Swish","#Q2C9P9GCG","SN JAIN","Mini Matter","217408","7/31/2021","Friendly","15","2"
"Globslashes","#QPGJUL0PC","SN JAIN","Mini Matter","217408","7/31/2021","Friendly","15","2"
"SnuG","#QYR89C80Y","SN JAIN","Mini Matter","217408","7/31/2021","Friendly","15","2"
"Olle","#QYRPQQVGR","SN JAIN","Mini Matter","217408","7/31/2021","Friendly","15","2"
"Karizma","#80JLVUJYV","SN JAIN","Mini Matter","217408","7/31/2021","Friendly","15","2"
"Sheen519","#QQLL9PJYJ","SN JAIN","Mini Matter","217408","7/31/2021","Friendly","15","2"
"gohnseena","#Q88PPJCG0","SN JAIN","Mini Matter","217408","7/31/2021","Friendly","15","2"
"santi","#Q9JV8Q8PV","SN JAIN","Mini Matter","217408","7/31/2021","Friendly","15","2"
"rio","#Q2P20V2J0","Mini Matter","SN JAIN","217414","7/31/2021","Friendly","15","2"
"punyhuman","#QY9CLP9CG","Mini Matter","SN JAIN","217414","7/31/2021","Friendly","15","2"
"Alex The Brave","#Q8YQ0CCQ2","Mini Matter","SN JAIN","217414","7/31/2021","Friendly","15","2"
"Dream v2","#Q9PC8PJYJ","Mini Matter","SN JAIN","217414","7/31/2021","Friendly","15","2"
"morf0wt","#QYG9PVYJP","Mini Matter","SN JAIN","217414","7/31/2021","Friendly","15","1"
"Duckman","#LC9QCR9YQ","Mini Matter","SN JAIN","217414","7/31/2021","Friendly","15","2"
"panda","#QPYG2UYJP","Mini Matter","SN JAIN","217414","7/31/2021","Friendly","15","2"
"MiniPix","#LLURGGVP0","Sheer Force","Lord Titans™","216755","7/31/2021","Regular","25","2"
"wtxmp","#YUP8VPGU2","Dark Matter","ReiGn Of FiRe","216628","7/30/2021","Regular","20","1"
"Ntfb_Slay","#Q2C9R2LY9","SN JAIN","柒点伍","215775","7/30/2021","Regular","5","2"
"purlple stuff","#QY8CUPGUJ","SN JAIN","柒点伍","215775","7/30/2021","Regular","5","2"
"gohnseena","#Q88PPJCG0","SN JAIN","柒点伍","215775","7/30/2021","Regular","5","2"
"Dagerson","#V9LQRUJR","Sheer Force","Rift Nuggets","214939","7/28/2021","Regular","15","2"
"Curtickle","#Q08UPC0G","Golden Clan","쉐카이나","214121","7/27/2021","Regular","20","1"
"Teyang konyak","#LUVPGC22L","SN JAIN","friendly people","213885","7/27/2021","Regular","5","2"
"old siti","#QQGGLJU09","SN JAIN","friendly people","213885","7/27/2021","Regular","5","1"
"ur mom","#Q98RQG8V8","SN JAIN","friendly people","213885","7/27/2021","Regular","5","2"
"marleigh","#QGCLV2J0","Dark Matter","BanishDBrethreN","213365","7/26/2021","Regular","20","1"
"BedwarsOP","#Q9QV9J2L8","Legendary Monks","ИРОН","213325","7/26/2021","Regular","20","2"
"Devinn","#V0UQ2LC","Golden Clan","...3Д...","212512","7/25/2021","Regular","20","2"
"marbear","#Y8QUY2LLQ","Golden Clan","...3Д...","212512","7/25/2021","Regular","20","1"
"Harvey","#PUGJ2R0C","Golden Clan","...3Д...","212512","7/25/2021","Regular","20","1"
"Sloth","#Y9V8LUCLQ","Golden Clan","...3Д...","212512","7/25/2021","Regular","20","1"
"BRO HENG SOLO","#LU022RGGR","SN JAIN","Mini Matter","212302","7/25/2021","Friendly","20","2"
"Lawrence","#QPVVGYGP0","SN JAIN","Mini Matter","212302","7/25/2021","Friendly","20","2"
"purlple stuff","#QY8CUPGUJ","SN JAIN","Mini Matter","212302","7/25/2021","Friendly","20","2"
"Globslashes","#QPGJUL0PC","SN JAIN","Mini Matter","212302","7/25/2021","Friendly","20","2"
"Oo Zaw TT","#QPGC908VQ","SN JAIN","Mini Matter","212302","7/25/2021","Friendly","20","2"
"Evan","#QPCQJVPP9","SN JAIN","Mini Matter","212302","7/25/2021","Friendly","20","2"
"Olle","#QYRPQQVGR","SN JAIN","Mini Matter","212302","7/25/2021","Friendly","20","2"
"Non rushed","#QYRRGV9LV","SN JAIN","Mini Matter","212302","7/25/2021","Friendly","20","2"
"R..I..D..E..R","#YCVVG992L","SN JAIN","Mini Matter","212302","7/25/2021","Friendly","20","2"
"weed","#QQ9YJGYLU","SN JAIN","Mini Matter","212302","7/25/2021","Friendly","20","1"
"Sheen519","#QQLL9PJYJ","SN JAIN","Mini Matter","212302","7/25/2021","Friendly","20","2"
"zuzi","#Q9Y22UQCL","SN JAIN","Mini Matter","212302","7/25/2021","Friendly","20","2"
"ur mom","#Q98RQG8V8","SN JAIN","Mini Matter","212302","7/25/2021","Friendly","20","1"
"moro kot","#Q9GYYRCPL","SN JAIN","Mini Matter","212302","7/25/2021","Friendly","20","1"
"texanji","#QP820PV88","SN JAIN","Mini Matter","212302","7/25/2021","Friendly","20","2"
"SHINYSHOOTER","#Q80UPV2GJ","SN JAIN","Mini Matter","212302","7/25/2021","Friendly","20","2"
"rio","#Q2P20V2J0","Mini Matter","SN JAIN","212303","7/25/2021","Friendly","20","2"
"punyhuman","#QY9CLP9CG","Mini Matter","SN JAIN","212303","7/25/2021","Friendly","20","2"
"Alex The Brave","#Q8YQ0CCQ2","Mini Matter","SN JAIN","212303","7/25/2021","Friendly","20","2"
"Duckman","#LC9QCR9YQ","Mini Matter","SN JAIN","212303","7/25/2021","Friendly","20","1"
"mafia king","#Q00RY9UCQ","Mini Matter","SN JAIN","212303","7/25/2021","Friendly","20","2"
"Muthu","#QQJU08JU9","Mini Matter","SN JAIN","212303","7/25/2021","Friendly","20","2"
"CLAN_MASTER_99","#V0R98V8","Legendary Monks","TEAM LEGENDS™","211718","7/24/2021","Regular","25","2"
"EmilianoBruh","#LYJVCUGRU","Legendary Monks","TEAM LEGENDS™","211718","7/24/2021","Regular","25","2"
"Elusive","#PJRGJUY08","Golden Clan","ChokroOfClan","210909","7/23/2021","Regular","20","1"
"Ntfb_Slay","#Q2C9R2LY9","SN JAIN","Mini Matter","210347","7/22/2021","Friendly","20","2"
"Dunk & Swish","#Q2C9P9GCG","SN JAIN","Mini Matter","210347","7/22/2021","Friendly","20","2"
"purlple stuff","#QY8CUPGUJ","SN JAIN","Mini Matter","210347","7/22/2021","Friendly","20","2"
"Globslashes","#QPGJUL0PC","SN JAIN","Mini Matter","210347","7/22/2021","Friendly","20","2"
"Oo Zaw TT","#QPGC908VQ","SN JAIN","Mini Matter","210347","7/22/2021","Friendly","20","2"
"靓仔","#QPG90CYVQ","SN JAIN","Mini Matter","210347","7/22/2021","Friendly","20","2"
"akash","#QYLLV8L02","SN JAIN","Mini Matter","210347","7/22/2021","Friendly","20","1"
"Evan","#QPCQJVPP9","SN JAIN","Mini Matter","210347","7/22/2021","Friendly","20","2"
"Olle","#QYRPQQVGR","SN JAIN","Mini Matter","210347","7/22/2021","Friendly","20","2"
"Non rushed","#QYRRGV9LV","SN JAIN","Mini Matter","210347","7/22/2021","Friendly","20","2"
"flavian","#QYVR8L089","SN JAIN","Mini Matter","210347","7/22/2021","Friendly","20","2"
"weed","#QQ9YJGYLU","SN JAIN","Mini Matter","210347","7/22/2021","Friendly","20","2"
"RoxnicMooN","#QG8809QRG","SN JAIN","Mini Matter","210347","7/22/2021","Friendly","20","2"
"texanji","#QP820PV88","SN JAIN","Mini Matter","210347","7/22/2021","Friendly","20","2"
"SHINYSHOOTER","#Q80UPV2GJ","SN JAIN","Mini Matter","210347","7/22/2021","Friendly","20","2"
"rio","#Q2P20V2J0","Mini Matter","SN JAIN","210351","7/22/2021","Friendly","20","2"
"Karaka","#QPQCLG809","Mini Matter","SN JAIN","210351","7/22/2021","Friendly","20","1"
"punyhuman","#QY9CLP9CG","Mini Matter","SN JAIN","210351","7/22/2021","Friendly","20","2"
